1-) Which gender do you identify as?,2-) What is your age?,3-) What is your academic class standing?,4-) In what Faculty are you registered? Select all that apply.,5-) What is your Major in METU?,6-) What is your student residency?, 7-) Which year did you first start studying at METU?,8-) Which city did you live in before coming to METU?, 9-) How likely do you think your high school advisor had effect on your preference of METU?,10-) How satisfied are you with the facilities? >> Classrooms capacity ,10-) How satisfied are you with the facilities? >> Physical conditions of the classrooms,10-) How satisfied are you with the facilities? >> Lecture materials ,10-) How satisfied are you with the facilities? >> Equipment of the department's computer lab, 11-) How satisfied are you with the program schedules? >> Course schedule, 11-) How satisfied are you with the program schedules? >> Major’s courses’ attendance policy, 11-) How satisfied are you with the program schedules? >> Breaks between courses,12-) How would you rate the content of the department courses?,13-) How would you rate the way you were assessed was a fair test of your skills?,14-) How would you rate the academic staff of the department is sufficient in terms of education and training?,15-) How would you rate the instructors' knowledge of the principles learning?,16-) Do you think that your training make you ready for the world of work?,17-) Do you think that you will feel competent for the job after graduating from this department?,18-) How likely are you to continue attending this department next year?,19-) How likely are you to recommend this department to others?,20-) How would you rate your over all satisfaction with your Major?,21-) How well do you become friends with other people?,22-) How well do you stay friends with other people? ,23-) How well would you make friends in a group where everyone else knows each other?,24-) How well do you help someone you have recently met become a part of the group to which you belong?,25-) How well do you start a conversation with a person you do not know very well?,26-) How well do you express your opinion to people who are talking about something of interest to you?,27-) How well do you keep your side of your opinion even though your friends disagree with you?,28-) How well would you share with a group of people an interesting experience you once had?,29-) How well would you tell other people that they are doing something that makes you uncomfortable?,30-) How well do you work in harmony with other people? ,31-) How well do you ask someone for help when you need it?,32-) Do you go to parties where you don’t know anyone?,33-) Do you volunteer to lead a group or organization?,34-)Would you join a lunch or dinner table where people are already sitting and talking?,34.a-) How well would you participate in the conversation?,35-) Would you feel nervous or stressed before talking publicly?,35.a-) How well would you control those feelings?,36-) Have you ever been a member of any community?,36.a-) How well did you participate in group activities?,37-) What is your current CGPA?,38-) What percentage of the classes have you attended so far?,39-) What percentage of the recitations have you attended so far?,40-) How important do you think the tasks assigned to you by your professor are?,41-) Have you ever participated in any research at METU?,42-) Have you ever participated in a scientific study organized by an institution or organization?,43-) Do you have a scientific article published in an academic journal?,44-) Have you received certified training that will contribute to your education outside of your university?,45-) How many course(s) have you failed?,46-) How would you rate your interaction with your professors IN the classroom?,47-) How would you rate your interaction with your professors OUT classroom?,48-) How well do you schedule your time?,49-) How do you evaluate your preparation for each lecture by reviewing your notes?,50-) How would you evaluate your preparation for exams?,51-) What do you think about extracurricular (non academic) activities on Campus,52-) Please choose the extracurricular(non-academic) activity that satisfies you the most.,53-) How would you evaluate the below statements in terms of student life?  >> Get training/skill in a special field,53-) How would you evaluate the below statements in terms of student life?  >> Satisfy self needs,53-) How would you evaluate the below statements in terms of student life?  >> Gain knowledge about the world  ,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> Campus Location,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> Facilities in the Campus,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> Safety in Campus,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> On-campus expenses,54-) How would you evaluate your campus life satisfaction in terms of the below statements? >> Course variability,55-) How much do you feel you belong to METU?, 56-) Please rate your overall satisfaction with the university on a scale of 1 to 5. ,57-) What do you think would have the most impact on the Students’ college life satisfaction?
Female,20,Sophomore,Engineering,Computer Engineering,In campus,2020,İzmir,4,Very Satisfied,Very Satisfied,Neutral,Dissatisfied,Dissatisfied,Neutral,Satisfied,4,3,3,3,Yes,Yes,5,5,4,4,3,2,4,5,4,1,4,2,4,4,No,No,YES,4,NO,,YES,4,2.88,76-100%,76-100%,3,No,No,No,Yes,0,4,3,4,2,4,2. They are just right,KKM events,Satisfied,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,4,4,Major Satisfaction
Female,22,Junior,Arts and Sciences,Statistics,"Off campus (with family, friends or by your own)",2018,Mersin,1,Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,Very Dissatisfied,Satisfied,Dissatisfied,4,3,2,4,No,No,5,3,3,4,4,4,3,2,4,5,4,4,4,3,No,No,YES,3,YES,2,YES,3,3,0-25%,51-75%,3,No,No,No,Yes,1,3,4,1,2,2,2. They are just right,Spring Fest,Dissatisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Dissatisfied,4,3,Social Self Efficacy
Female,22,Junior,Education,English Language Teaching,In campus,2019,İstanbul ,1,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Satisfied,Neutral,4,4,3,3,No,Yes,4,4,4,1,1,1,1,4,4,5,3,5,1,2,No,No,YES,4,YES,2,YES,3,3.83,76-100%,0-25%,4,No,No,No,No,0,4,3,1,2,2,2. They are just right,Students Community Events,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,3,2,Social Self Efficacy
Female,20,Sophomore,Engineering,Environmental Engineering,"Off campus (with family, friends or by your own)",2020,Ankara,1,Neutral,Very Dissatisfied,Neutral,Neutral,Neutral,Dissatisfied,Neutral,4,3,4,3,Unsure,Yes,3,3,4,4,3,4,4,5,3,3,3,2,4,2,No,No,YES,5,YES,3,YES,4,2.65,76-100%,76-100%,4,No,No,No,No,0,4,4,4,4,4,3.  I was overwhelmed with the number,Students Community Events,Satisfied,Dissatisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,3,2,Major Satisfaction
Female,20,Sophomore,Engineering,Metallurgical and Materials Engineering,"Off campus (with family, friends or by your own)",2020,Ankara,4,Dissatisfied,Neutral,Neutral,Neutral,Satisfied,Satisfied,Dissatisfied,4,3,4,3,No,Unsure,5,4,2,5,5,3,4,3,4,4,4,3,5,4,No,No,YES,4,YES,1,NO,,2.45,26-50%,51-75%,3,No,No,No,No,1,2,1,3,3,3,2. They are just right,Spring Fest,Dissatisfied,Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,4,3,Academic Performance
Others,21,Junior,Education,"Early Childhood Education	",In campus,2019,İzmir,3,Satisfied,Satisfied,Satisfied,Neutral,Very Dissatisfied,Very Dissatisfied,Satisfied,1,2,2,3,Unsure,Yes,5,1,2,3,4,2,4,3,4,4,3,3,4,3,No,No,NO,,YES,3,YES,2,3.49,76-100%,76-100%,3,Yes,No,No,Yes,0,1,1,4,3,4,1. They are too few,Spring Fest,Satisfied,Neutral,Neutral,Dissatisfied,Satisfied,Satisfied,Neutral,Dissatisfied,3,3,Social Self Efficacy
Male,19,Sophomore,Engineering,Computer Engineering,In campus,2021,Ankara,2,Satisfied,Satisfied,Dissatisfied,Very Satisfied,Satisfied,Very Satisfied,Satisfied,4,1,5,3,Yes,Yes,5,4,4,3,4,3,4,4,5,3,4,2,4,2,No,Yes,YES,1,YES,4,YES,4,3.88,76-100%,76-100%,5,Yes,No,No,Yes,0,2,1,3,2,4,1. They are too few,KKM events,Very Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,4,3,Academic Performance
Female,22,Senior,Arts and Sciences,Biology,In campus,2018,İstanbul,2,Dissatisfied,Dissatisfied,Dissatisfied,Very Dissatisfied,Satisfied,Very Satisfied,Satisfied,4,4,4,4,Yes,Yes,1,5,5,5,5,5,5,4,4,4,4,2,5,4,No,No,YES,4,YES,3,NO,,3,51-75%,0-25%,5,Yes,Yes,Yes,Yes,1,3,4,5,5,5,2. They are just right,Spring Fest,Satisfied,Neutral,Very Satisfied,Very Satisfied,Dissatisfied,Neutral,Neutral,Satisfied,5,4,Social Self Efficacy
Female,18,Preparation School,Economic and Administrative Sciences,International Relations,In campus,2022,İzmir,3,Neutral,Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,Satisfied,Satisfied,4,4,3,3,Unsure,Yes,3,4,5,4,5,5,4,5,5,5,5,5,5,4,Yes,No,NO,,YES,3,YES,3,0,76-100%,0-25%,4,No,No,No,No,0,5,2,4,3,3,2. They are just right,Students Community Events,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Neutral,4,4,Major Satisfaction
Male,19,Preparation School,Engineering,Electrical and Electronics Engineering,"Off campus (with family, friends or by your own)",2022,Ankara,1,Neutral,Dissatisfied,Satisfied,Very Satisfied,Satisfied,Neutral,Dissatisfied,4,5,5,4,No,No,4,4,4,5,5,3,4,4,4,4,4,3,4,3,No,No,YES,3,YES,3,YES,5,0,76-100%,51-75%,3,No,No,No,No,0,3,3,5,4,4,3.  I was overwhelmed with the number,Students Community Events,Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Dissatisfied,5,5,Social Self Efficacy
Female,22,Junior,Arts and Sciences,Statistics,In campus,2019,İzmir,4,Satisfied,Neutral,Satisfied,Neutral,Satisfied,Neutral,Neutral,4,3,3,4,Unsure,Yes,5,5,3,4,4,4,4,4,4,3,5,4,5,4,No,Yes,NO,,NO,,YES,5,2.92,76-100%,76-100%,5,No,No,No,No,2,3,3,4,4,4,2. They are just right,Students Community Events,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,5,4,Social Self Efficacy
Male,21,Junior,Engineering,Mechanical Engineering,In campus,2019,Bursa,5,Dissatisfied,Very Dissatisfied,Satisfied,Very Dissatisfied,Very Satisfied,Neutral,Satisfied,5,4,5,5,Yes,Yes,5,2,5,5,4,4,5,5,5,4,5,5,5,5,No,Yes,YES,4,NO,,YES,5,2.9,76-100%,76-100%,5,No,No,No,Yes,1,5,5,5,5,5,3.  I was overwhelmed with the number,Students Community Events,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Very Dissatisfied,Neutral,Satisfied,5,3,Major Satisfaction
Male,18,Preparation School,Arts and Sciences,Mathematics,In campus,2022,Manisa,1,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Neutral,Dissatisfied,3,5,3,4,Yes,Yes,5,5,5,2,2,4,4,1,4,5,4,4,4,5,No,No,YES,3,YES,2,YES,1,0,76-100%,76-100%,4,No,No,No,No,0,4,3,2,4,3,2. They are just right,Students Community Events,Satisfied,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Neutral,3,4,Social Self Efficacy
Male,20,Sophomore,Arts and Sciences,Chemistry,In campus,2020,Antalya ,1,Very Satisfied,Very Dissatisfied,Neutral,Neutral,Neutral,Very Dissatisfied,Neutral,2,3,4,4,Unsure,Yes,5,1,3,4,4,5,3,3,4,1,2,5,5,5,No,Yes,NO,,NO,,NO,,1.93,51-75%,76-100%,5,Yes,No,No,Yes,2,4,3,5,1,5,3.  I was overwhelmed with the number,Spring Fest,Neutral,Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Neutral,Neutral,4,2,Academic Performance
Male,23,Junior,Engineering,Mining Engineering,"Off campus (with family, friends or by your own)",2017,Ankara,5,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,2,1,1,1,No,No,3,1,2,4,2,4,4,3,3,4,3,4,4,4,Yes,No,NO,,NO,,NO,,2.24,51-75%,76-100%,2,Yes,Yes,Yes,Yes,4+,5,1,5,1,5,1. They are too few,Spring Fest,Dissatisfied,Dissatisfied,Dissatisfied,Satisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,Very Dissatisfied,1,1,Major Satisfaction
Female,19,First-year,Arts and Sciences,Mathematics,In campus,2020,Baku,1,Very Dissatisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Dissatisfied,Satisfied,5,3,5,4,Yes,Yes,4,2,4,2,4,1,2,2,4,5,4,4,5,2,No,No,NO,,YES,3,YES,4,1.51,26-50%,76-100%,4,No,No,No,No,3,2,1,4,5,4,2. They are just right,Spring Fest,Dissatisfied,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Very Dissatisfied,Dissatisfied,4,4,Academic Performance
Male,26,Senior,Engineering,Electrical and Electronics Engineering,"Off campus (with family, friends or by your own)",2018,Ankara,2,Satisfied,Satisfied,Dissatisfied,Satisfied,Neutral,Satisfied,Satisfied,4,2,3,3,Yes,Unsure,2,1,4,5,4,5,5,5,5,5,4,2,4,2,Yes,Yes,YES,5,NO,,NO,,3.3,51-75%,0-25%,4,No,Yes,No,Yes,3,4,4,5,1,4,2. They are just right,KKM events,Satisfied,Satisfied,Satisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Neutral,Dissatisfied,4,4,Social Self Efficacy
Female,20,First-year,Arts and Sciences,Statistics,In campus,2021,Yalova,2,Neutral,Neutral,Dissatisfied,Very Dissatisfied,Satisfied,Neutral,Neutral,4,4,3,3,Yes,Yes,5,5,4,4,3,2,4,4,4,4,3,3,4,4,No,No,YES,3,YES,2,YES,4,0,26-50%,76-100%,4,No,No,No,Yes,0,4,4,1,1,3,2. They are just right,Spring Fest,Very Satisfied,Very Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,5,3,Major Satisfaction
Female,20,First-year,Engineering,Environmental Engineering,In campus,2021,İzmir,1,Satisfied,Satisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Satisfied,3,2,2,3,Unsure,Unsure,5,4,5,3,3,1,3,4,4,4,2,3,5,5,No,Yes,YES,3,YES,1,YES,5,0,0-25%,0-25%,3,No,No,No,No,2,2,2,2,3,3,2. They are just right,Spring Fest,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Neutral,Very Satisfied,Satisfied,5,5,Social Self Efficacy
Male,19,First-year,Arts and Sciences,Chemistry,In campus,2021,Bartın ,1,Very Satisfied,Very Satisfied,Very Satisfied,Neutral,Satisfied,Very Satisfied,Very Satisfied,5,5,4,5,Unsure,Yes,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No,Yes,YES,5,NO,,YES,3,0,76-100%,76-100%,4,No,No,No,No,0,4,4,3,2,5,2. They are just right,Spring Fest,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,5,5,Social Self Efficacy
Male,22,Senior,Engineering,Mining Engineering,"Off campus (with family, friends or by your own)",2019,İzmir,3,Dissatisfied,Very Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Very Dissatisfied,Satisfied,4,2,3,4,Yes,Yes,5,2,2,5,5,5,5,4,4,3,3,5,4,5,No,Yes,NO,,NO,,YES,4,2.3,26-50%,0-25%,3,No,Yes,No,Yes,4+,3,1,3,3,3,1. They are too few,Spring Fest,Dissatisfied,Dissatisfied,Dissatisfied,Neutral,Very Dissatisfied,Satisfied,Dissatisfied,Neutral,2,1,Social Self Efficacy
Female,20,Junior,Engineering,Geological Engineering,In campus,2020,Riyadh,1,Neutral,Satisfied,Satisfied,Neutral,Dissatisfied,Neutral,Satisfied,4,2,4,5,Unsure,Unsure,5,2,3,4,2,4,5,5,4,3,2,4,4,1,No,No,NO,,NO,,YES,4,1.84,76-100%,76-100%,3,No,No,No,No,2,3,4,2,2,4,1. They are too few,KKM events,Dissatisfied,Dissatisfied,Neutral,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,4,4,Social Self Efficacy
Male,30,Phd,Economic and Administrative Sciences,Political Science and Public Administration,"Off campus (with family, friends or by your own)",2016,İstanbul,1,Neutral,Neutral,Satisfied,Dissatisfied,Very Dissatisfied,Neutral,Neutral,4,4,4,4,Unsure,Yes,4,4,4,4,3,3,4,4,2,2,3,2,4,4,No,No,NO,,NO,,NO,,4,76-100%,76-100%,4,Yes,Yes,Yes,Yes,0,4,2,5,5,5,1. They are too few,Spring Fest,Neutral,Neutral,Neutral,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,3,4,Social Self Efficacy
Male,23,Junior,Engineering,Civil Engineering,In campus,2020,İstanbul,1,Neutral,Dissatisfied,Dissatisfied,Neutral,Dissatisfied,Neutral,Dissatisfied,1,2,1,1,Unsure,No,1,1,1,3,4,2,2,2,3,3,4,3,3,4,No,No,YES,3,YES,3,NO,,2.37,0-25%,0-25%,2,No,No,No,No,3,2,2,3,2,3,1. They are too few,Spring Fest,Dissatisfied,Neutral,Very Dissatisfied,Satisfied,Satisfied,Satisfied,Neutral,Dissatisfied,1,1,Academic Performance
Male,22,Junior,Arts and Sciences,Statistics,In campus,2019,Kayseri,4,Very Dissatisfied,Very Dissatisfied,Neutral,Very Dissatisfied,Satisfied,Dissatisfied,Dissatisfied,4,2,2,3,Yes,Yes,4,4,3,3,4,3,4,3,4,3,3,2,3,4,Yes,Yes,YES,3,YES,5,YES,5,3.07,51-75%,0-25%,2,Yes,No,No,No,3,2,2,4,2,2,2. They are just right,Spring Fest,Satisfied,Satisfied,Satisfied,Very Satisfied,Satisfied,Satisfied,Satisfied,Satisfied,5,5,Major Satisfaction
Male,21,Junior,Arts and Sciences,Statistics,"Off campus (with family, friends or by your own)",2019,Izmir,1,Satisfied,Satisfied,Satisfied,Satisfied,Dissatisfied,Satisfied,Satisfied,5,4,3,4,Yes,Yes,1,5,5,2,4,3,4,3,5,3,4,5,4,2,No,Yes,NO,,YES,5,NO,,3.88,76-100%,76-100%,5,Yes,No,No,Yes,0,4,1,5,3,5,3.  I was overwhelmed with the number,KKM events,Satisfied,Neutral,Neutral,Neutral,Satisfied,Very Satisfied,Very Satisfied,Very Satisfied,4,4,Social Self Efficacy
Female,26,Junior,Architecture,Architecture,In campus,2019,Urmia,1,Neutral,Neutral,Dissatisfied,Neutral,Neutral,Dissatisfied,Neutral,3,5,1,2,Unsure,Yes,5,1,1,1,3,1,4,4,3,3,3,3,5,3,No,No,YES,4,YES,3,YES,3,3,76-100%,76-100%,2,Yes,Yes,No,No,0,2,1,4,4,5,2. They are just right,Spring Fest,Dissatisfied,Neutral,Dissatisfied,Neutral,Neutral,Very Dissatisfied,Dissatisfied,Neutral,3,2,Academic Performance
Female,22,Junior,Architecture,Architecture,In campus,2019,Tabriz,1,Dissatisfied,Dissatisfied,Neutral,Very Dissatisfied,Satisfied,Very Dissatisfied,Dissatisfied,4,2,5,5,Yes,Unsure,5,2,4,4,4,2,5,3,5,5,4,4,2,2,No,Yes,NO,,NO,,NO,,3.4,76-100%,0-25%,4,No,No,No,No,1,2,4,1,3,3,1. They are too few,Spring Fest,Satisfied,Dissatisfied,Neutral,Satisfied,Dissatisfied,Very Dissatisfied,Dissatisfied,Satisfied,4,4,Major Satisfaction
